Region,Year,Crop,Area planted (ha),Production,Yield
KAOLACK,2018,Cassava,3568,69345,21.3785
KAOLACK,2017,Watermelon,2314,75331,35.8039
KAOLACK,2018,Watermelon,7685,285410,40.8529
KAOLACK,2016,Cassava,2830,56782,49.72
KAOLACK,2019,Cassava,5162,95440,49.786
KAOLACK,2016,Watermelon,2104,68825,87.67
KAOLACK,2019,Watermelon,11150,373380,89.76
KAOLACK,2017,Fonio,0,0,0
KAOLACK,2018,Fonio,,,0
KEDOUGOU,2019,Cassava,0,0,0
KEDOUGOU,2019,Watermelon,0,0,0
KEDOUGOU,2019,Sesame,0,0,0
KEDOUGOU,2017,Cowpea,56,1120,0.3828
KEDOUGOU,2016,Cowpea,10,5,0.5225
KEDOUGOU,2018,Cowpea,318,198,0.6831
KEDOUGOU,2016,Fonio,1438,839,0.715
KEDOUGOU,2017,Fonio,1539,1201,0.858
KEDOUGOU,2019,Millet,9833,8239,0.9218
KEDOUGOU,2018,Fonio,1409,1268,0.99
KEDOUGOU,2016,Peanut,3937,3937,1.2166
KEDOUGOU,2017,Peanut,4299,5028,1.2859
KEDOUGOU,2018,Peanut,12670,17538,1.5224
KEDOUGOU,2019,Cowpea,350,239,1.5587
KEDOUGOU,2016,Sorghum,3204,4642,1.5939
KEDOUGOU,2018,Sorghum,6793,11152,1.8062
KEDOUGOU,2017,Sorghum,3525,6207,1.9371
KEDOUGOU,2019,Fonio,4109,3370,2.3925
KEDOUGOU,2017,Maize,5934,14658,2.717
KEDOUGOU,2016,Maize,5395,12678,2.7357
KEDOUGOU,2016,Rice,7500,18750,2.75
KEDOUGOU,2018,Maize,9761,24403,2.75
KEDOUGOU,2017,Rice,8800,22628,2.8281
KEDOUGOU,2018,Rice,6955,18326,2.8985
KEDOUGOU,2019,Peanut,13362,20522,5.06
KEDOUGOU,2019,Sorghum,10353,17998,6.8255
KEDOUGOU,2019,Maize,29755,69512,9.0464
KEDOUGOU,2019,Rice,36618,93544,11.0935
KEDOUGOU,2016,Cassava,0,0,0
KEDOUGOU,2017,Cassava,0,0,0
KEDOUGOU,2018,Cassava,,,0
KEDOUGOU,2016,Watermelon,0,0,0
KEDOUGOU,2017,Watermelon,0,0,0
KEDOUGOU,2018,Watermelon,,,0
KEDOUGOU,2016,Sesame,0,0,0
KEDOUGOU,2017,Sesame,0,0,0
KEDOUGOU,2018,Sesame,,,0
KEDOUGOU,2016,Millet,0,0,0
KEDOUGOU,2017,Millet,0,0,0
KEDOUGOU,2018,Millet,,,0
KOLDA,2016,Fonio,131,72,0.3025
KOLDA,2017,Sesame,1462,644,0.484
KOLDA,2017,Cowpea,2420,60556,0.5093
KOLDA,2016,Sesame,1330,654,0.561
KOLDA,2019,Fonio,90,46,0.5665
KOLDA,2018,Cowpea,703,378,0.5907
KOLDA,2018,Fonio,117,64,0.605
KOLDA,2017,Sorghum,35086,26516,0.8316
KOLDA,2016,Sorghum,31896,25935,0.8943
KOLDA,2016,Millet,39088,33662,0.9471
KOLDA,2017,Millet,39541,34530,0.9603
KOLDA,2017,Peanut,68800,66642,1.0659
KOLDA,2016,Cowpea,1046,731,1.166
KOLDA,2018,Sorghum,35603,37959,1.1726
KOLDA,2018,Millet,28455,31870,1.232
KOLDA,2018,Peanut,92837,139558,1.6533
KOLDA,2017,Maize,21618,32808,1.6698
KOLDA,2018,Maize,45080,76813,1.8744
KOLDA,2019,Cowpea,1543,1012,2.145
KOLDA,2019,Sesame,2106,1543,2.2231
KOLDA,2016,Peanut,62279,62279,2.2781
KOLDA,2017,Rice,57036,124913,2.409
KOLDA,2018,Rice,107886,252831,2.5773
KOLDA,2016,Maize,19653,34807,2.904
KOLDA,2016,Rice,58036,162964,3.0888
KOLDA,2019,Millet,40807,44167,3.135
KOLDA,2019,Sorghum,17274,16182,3.1735
KOLDA,2019,Peanut,123521,225654,6.0918
KOLDA,2019,Maize,21156,47350,7.7374
KOLDA,2019,Rice,45280,127972,9.46
KOLDA,2018,Cassava,620,5776,10.2399
KOLDA,2017,Cassava,1067,10371,10.6898
KOLDA,2017,Watermelon,1287,13215,11.297
KOLDA,2018,Watermelon,372,4468,13.2
KOLDA,2016,Cassava,970,7416,13.75
KOLDA,2016,Watermelon,1170,12013,17.05
KOLDA,2019,Watermelon,436,5858,29.535
KOLDA,2019,Cassava,682,6590,31.9
KOLDA,2018,Sesame,,,0
KOLDA,2017,Fonio,140,77,0
LOUGA,2019,Rice,0,0,0
LOUGA,2019,Fonio,0,0,0
LOUGA,2018,Sorghum,3000,1328,0.4873
LOUGA,2016,Millet,88850,44524,0.5511
LOUGA,2017,Millet,90130,47182,0.5753
LOUGA,2017,Maize,5062,2784,0.605
LOUGA,2016,Cowpea,74951,43357,0.6083
LOUGA,2016,Sorghum,3999,2227,0.6127
LOUGA,2017,Sorghum,4399,2472,0.6182
LOUGA,2018,Cowpea,128974,74909,0.6391
LOUGA,2018,Maize,5132,3079,0.66
LOUGA,2019,Maize,5645,3387,0.66
LOUGA,2018,Millet,141862,86708,0.6721
LOUGA,2017,Peanut,189685,130918,0.759
LOUGA,2019,Sorghum,2342,804,0.7865
LOUGA,2017,Cowpea,80518,401,0.8272
LOUGA,2016,Peanut,186082,186082,0.8316
LOUGA,2016,Maize,4602,3682,0.88
LOUGA,2018,Peanut,211379,173386,0.902
LOUGA,2019,Millet,97616,26945,0.935
LOUGA,2019,Sesame,75,35,1.023
LOUGA,2016,Rice,705,705,1.1
LOUGA,2017,Rice,705,705,1.1
LOUGA,2018,Rice,456,456,1.1
